,name,year,price,bodyPercent,Tanning,Sugar,Acidic
66,"Domaine Marc Roy
Gevrey-Chambertin Vieilles Vignes 2022",2022,$165.98,42.1108%;,31.8573%;,4.89596%;,72.1406%;
67,"Domaine Drouhin-Laroze
Clos de Vougeot Grand Cru 2021",2021,$676.31,46.9549%;,38.5395%;,13.7253%;,71.838%;
68,"Domaine MIA
Les Caudroyes Mercurey 2020",2020,$50.64,19.1952%;,29.8274%;,0px;,54.8758%;
69,"Domaine des Croix
Beaune Les Bressandes 1er Cru 2021",2021,$139.40,37.1149%;,25.3188%;,6.11792%;,65.2733%;
70,"Domaine des Croix
Beaune Les Cents Vignes 1er Cru 2021",2021,$119,33.5124%;,18.4739%;,0.0114149%;,61.7438%;
71,"Olivier Leflaive
Pernand-Vergelesses 1er Cru 'Les Fichots' 2020",2020,$43.89,31.7036%;,22.4099%;,0px;,60.9291%;
72,"Olivier Leflaive
Volnay 1er Cru Clos Des Angles 2020",2020,$123.22,29.9263%;,26.7031%;,7.01752%;,65.8803%;
73,"Lignier-Michelot
Morey-Saint-Denis 1er Cru 'Les Faconnières' 2021",2021,$212.69,42.5251%;,30.9634%;,10.3543%;,69.2721%;
74,"Lignier-Michelot
Morey-Saint-Denis 'En la Rue de Vergy' 2021",2021,$118.16,44.2759%;,33.9429%;,10.0856%;,68.3771%;
75,"Domaine Génot-Boulanger
Pommard-Clos Blanc Premier Cru 2021",2021,$173.40,32.2811%;,19.7472%;,0px;,55.0745%;
76,"Domaine Faiveley
Corton Clos des Cortons Faiveley Grand Cru (Monopole) 2021",2021,$578,38.9516%;,30.8639%;,9.06483%;,64.6782%;
77,"Lignier-Michelot
Vieilles Vignes Morey-Saint-Denis 2021",2021,$123.22,49.5822%;,37.5115%;,9.24676%;,72.7137%;
78,"Parent
Pommard Premier Cru de 'Les Chaponnières' 2020",2020,$199.18,37.5768%;,29.5889%;,4.15526%;,67.8819%;
79,"Domaine de Montille
Volnay 1er Cru 'Les Taillepieds' 2021",2021,$281.19,31.6251%;,25.6584%;,6.63692%;,63.9338%;
80,"Harmand-Geoffroy
Vieilles Vignes Gevrey-Chambertin 2020",2020,$109.94,47.2199%;,32.7286%;,6.68773%;,65.1965%;
81,"Domaine Faiveley
Gevrey-Chambertin 1er Cru 'La Combe Aux Moines' 2020",2020,$169.94,38.0928%;,33.1225%;,9.53623%;,65.2439%;
82,"Domaine Frédéric Esmonin
Ruchottes-Chambertin Grand Cru 2022",2022,$169.94,38.8018%;,33.0246%;,2.33497%;,70.7396%;
83,"Monthelie Douhairet Porcheret
Volnay 1er Cru 'En Champans' 2021",2021,$124.94,31.2469%;,21.9735%;,3.63249%;,65.0768%;
84,"Louis Latour
Corton Grand Cru Clos Du Roi 2018",2018,$134.94,30.7625%;,22.2672%;,5.32591%;,64.0169%;
85,"Lucien le Moine
Gevrey-Chambertin 1er Cru 'Aux Combottes' 2019",2019,$164.94,46.0739%;,37.8034%;,2.56932%;,72.1636%;
86,"Digioia-Royer
Vieilles Vignes Chambolle-Musigny 'Les Fremiéres' 2017",2017,$74.94,50.5936%;,44.3695%;,11.4544%;,75.5218%;
87,"J.M. Boillot
Volnay-Pitures 1er Cru 2016",2016,$89.94,31.8368%;,23.1491%;,11.3259%;,65.6061%;
88,"Domaine François Gaunoux
Beaune 1er Cru 'Le Clos des Mouches' 2017",2017,$74.94,34.8014%;,22.4396%;,2.04132%;,63.5586%;
89,"J.M. Boillot
Volnay 1er Cru Carelle Sous La Chapelle 2016",2016,$79.94,31.4823%;,18.6529%;,11.462%;,65.1006%;
90,"Harmand-Geoffroy
Gevrey-Chambertin 1er Cru 'Clos Prieur' 2020",2020,$109.94,44.6544%;,30.231%;,25.9044%;,75.342%;
91,"Domaine Robert Chevillon
Les Saint-Georges Nuits-Saint-Georges 1er Cru 2019",2019,$259.94,42.9288%;,32.5526%;,9.67702%;,69.3755%;
92,"Philippe Chéron
Gevrey-Chambertin 1er Cru 'La Romanée' Monopole 2020",2020,$119.94,41.4535%;,32.5%;,0px;,80.9651%;
93,"Domaine Chanzy
Santenay 1er Cru 'Gravières' Rouge 2016",2016,$59.94,27.7119%;,25.2118%;,11.6097%;,67.0204%;
94,"Domaine François Gaunoux
Beaune 1er Cru 'Le Clos des Mouches' 2020",2020,$79.94,34.8014%;,22.4396%;,2.04132%;,63.5586%;
95,"Domaine de Montille
Volnay 1er Cru Les Brouillards 2018",2018,$89.94,29.9325%;,22.2437%;,4.98232%;,65.4976%;
96,"Gagnard-Delagrange
Chassagne-Montrachet Premier Cru 2018",2018,$69.94,29.8581%;,21.7977%;,3.04006%;,62.8316%;
97,"David Duband
Gevrey-Chambertin 2019",2019,$94.94,39.8388%;,31.0992%;,13.9456%;,68.1801%;
98,"Domaine Drouhin-Laroze
Gevrey-Chambertin 2018",2018,$69.94,42.1845%;,33.7754%;,7.61654%;,70.8827%;
99,"Louis Jadot
Gevrey Chambertin 2020",2020,$69.94,39.9635%;,31.0125%;,6.29755%;,70.4461%;
100,"Domaine François Gaunoux
Pommard 1er Cru 'Les Epenots' 2017",2017,$74.94,33.3709%;,27.9357%;,8.84726%;,63.4355%;
101,"Domaine François Gaunoux
Pommard 1er Cru 'Les Rugiens' 2018",2018,$94.94,35.4461%;,28.009%;,5.54726%;,63.5676%;
102,"Bitouzet-Prieur
Volnay Premier Cru 'Les Aussy' 2018",2018,$79.94,36.899%;,23.1141%;,2.00291%;,65.2994%;
103,"Pierre Damoy
Gevrey-Chambertin 'Clos Tamisot' 2018",2018,$219.94,46.5451%;,35.7303%;,10.1931%;,67.7371%;
104,"Domaine Christian Clerget
Vougeot 1er Cru 'Les Petits Vougeots' 2019",2019,$149.94,37.6708%;,32.7269%;,11.7482%;,67.1723%;
105,"Harmand-Geoffroy
Gevrey-Chambertin En Jouise 2020",2020,$94.94,44.0881%;,27.1759%;,5.08169%;,64.0646%;
106,"Harmand-Geoffroy
Gevrey-Chambertin 1er Cru 'La Perriere' 2020",2020,$139.94,46.2321%;,31.8023%;,7.03294%;,72.3583%;
107,"Louis Latour
Beaune 1er Cru 'Les Vignes Franches' 2012",2012,$84.94,33.5208%;,22.6618%;,6.89154%;,64.2338%;
108,"Domaine François Gaunoux
Pommard 1er Cru 'Les Rugiens' 2020",2020,$99.94,35.4461%;,28.009%;,5.54726%;,63.5676%;
109,"Domaine François Gaunoux
Pommard 1er Cru 'Les Rugiens' 2016",2016,$94.94,35.4461%;,28.009%;,5.54726%;,63.5676%;
110,"Chapuis & Chapuis
Aloxe-Corton 1er Cru 2019",2019,$64.94,24.7155%;,17.5%;,0px;,70.2385%;
111,"Domaine Christian Clerget
Vougeot 1er Cru 'Les Petits Vougeots' 2016",2016,$139.94,37.6708%;,32.7269%;,11.7482%;,67.1723%;
112,"Domaine Christian Clerget
Vougeot 1er Cru 'Les Petits Vougeots' 2018",2018,$149.94,37.6708%;,32.7269%;,11.7482%;,67.1723%;
113,"Xavier Monnot
Maranges 1er Cru 'Clos de la Fussière' Monopole 2018",2018,$51.94,34.5689%;,25.9504%;,8.5327%;,60.4086%;
114,"Domaine Faiveley
Gevrey-Chambertin Vieilles Vignes 2021",2021,$74.94,43.9613%;,32.0415%;,10.197%;,70.78%;
115,"Michel Magnien
Chambolle-Musigny 'Argillières' 2017",2017,$84.94,41.4542%;,38.5319%;,0px;,68.5%;
116,"Joseph Drouhin
Pommard 2018",2018,$67.94,32.2325%;,25.959%;,5.77949%;,61.6435%;
117,"Maison Leroy
Savigny-lès-Beaune 1983",1983,$845,31.7848%;,21.8128%;,5.15107%;,65.2132%;
118,"Georges Lignier et Fils
Clos-Saint-Denis Grand Cru 2019",2019,$199.94,44.587%;,36.1264%;,2.68938%;,73.1675%;
119,"Domaine Joseph Roty
Gevrey-Chambertin 2018",2018,$84.94,43.1277%;,34.0246%;,12.6418%;,71.596%;
120,"Robert Groffier
Les Seuvrées Gevrey-Chambertin 2021",2021,$199.94,43.3989%;,30.4427%;,9.45348%;,69.9339%;
121,"Domaine Chanzy
Santenay 1er Cru 'Gravières' Rouge 2017",2017,$59.94,27.7119%;,25.2118%;,11.6097%;,67.0204%;
122,"Harmand-Geoffroy
Gevrey-Chambertin 1er Cru 'Lavaux St-Jacques' 2020",2020,$169.94,47.1835%;,33.8057%;,9.09866%;,71.4015%;
123,"Lucien le Moine
Corton Grand Cru Bressandes 2019",2019,$209.94,45.5535%;,30.5464%;,6.35783%;,66.0735%;
124,"Michel Magnien
Morey-Saint-Denis Premier Cru Climats d'Or 2018",2018,$87.94,43.2237%;,34.6815%;,0px;,75.0729%;
125,"Monthelie Douhairet Porcheret
Pommard 1er Cru 'Les Fremiers' 2021",2021,$124.94,30.4006%;,21.6693%;,11.837%;,66.1444%;
126,"Domaine François Gaunoux
Pommard 1er Cru 'Les Grands Epenots' 2018",2018,$79.94,30.4006%;,21.6693%;,11.837%;,66.1444%;
127,"Domaine Odoul-Coquard
Morey-Saint-Denis 1er Cru 'Clos La Riotte' 2021",2021,$139.94,37.7993%;,36.5374%;,15.0686%;,70.6253%;
128,"Domaine François Gaunoux
Pommard 1er Cru 'Les Rugiens' 2017",2017,$94.94,35.4461%;,28.009%;,5.54726%;,63.5676%;
129,"Harmand-Geoffroy
Gevrey-Chambertin 1er Cru 'Clos Prieur' 2016",2016,$79.94,44.6544%;,30.231%;,25.9044%;,75.342%;
130,"Domaine Henri Boillot
Volnay 1er Cru Les Fremiets 2017",2017,$109.94,34.6487%;,27.4053%;,5.16112%;,64.5144%;
131,"Michel Noëllat
Chambolle-Musigny 2020",2020,$109.94,43.7835%;,33.2955%;,7.35813%;,68.0869%;
132,"Domaine Faiveley
Les Charmes Chambolle-Musigny 1er Cru 2018",2018,$169.94,43.0269%;,29.3922%;,9.39781%;,70.9554%;
133,"Harmand-Geoffroy
Gevrey-Chambertin 2020",2020,$74.94,43.1604%;,34.823%;,10.3032%;,70.0876%;
134,"Louis Jadot
Pommard 2018",2018,$66,33.046%;,25.945%;,3.71135%;,64.0922%;
135,"Domaine Faiveley
La Framboisière Mercurey Monopole 2021",2021,$85,22.6738%;,20.2596%;,7.83744%;,64.4718%;
136,"Les Parcellaires de Saulx
Les Murgers Nuits-Saint-Georges Premier Cru 2018",2018,$143.99,34.6373%;,38.3039%;,0px;,78.7549%;
137,"Les Parcellaires de Saulx
Chambolle-Musigny 2019",2019,$111.99,35.5021%;,30.3518%;,0px;,73.0771%;
138,"Dugat-Py
Vieilles Vignes Gevrey-Chambertin Les Evocelles 2017",2017,$204.99,47.8257%;,38.614%;,10.8797%;,70.8859%;
139,"Domaine de Montille
Volnay 1er Cru 'Les Taillepieds' 2020",2020,$197.99,31.6251%;,25.6584%;,6.63692%;,63.9338%;
