name,year,price,bodyPercent,Tanning,Sugar,Acidic
"Clos des Papes (Paul Avril)
Châteauneuf-du-Pape 2020",2020,$145,81.8996%;,39.3383%;,14.0024%;,44.2708%;
"Domaine de la Janasse
Châteauneuf-du-Pape Vieilles Vignes 2019",2019,$119.99,85%;,42.0881%;,17.4804%;,44.0526%;
"Domaine du Vieux Télégraphe
Châteauneuf-du-Pape (La Crau) 2021",2021,$89.99,82.4248%;,40.3363%;,8.72567%;,45.219%;
"Brotte
Secret Barville Chateauneuf-du-Pape 2021",2021,$60.99,85%;,40.7434%;,5.44852%;,42.0191%;
"Domaine Jean-Louis Chave
Saint-Joseph 2020",2020,$105.02,85%;,40.7434%;,5.44852%;,42.0191%;
"Domaine Jean-Louis Chave
Hermitage Selection Farconnet 2018",2018,$88.45,85%;,69.0974%;,6.74481%;,55.4596%;
"Domaine Jean-Louis Chave
Hermitage Selection Farconnet 2019",2019,$88.45,85%;,69.0974%;,6.74481%;,55.4596%;
"Domaine de La Chapelle
Hermitage La Chapelle Rouge 2019",2019,$223.02,83.1154%;,67.4268%;,9.73907%;,54.61%;
"Auguste Clape
Renaissance Cornas 2018",2018,$105.02,83.1458%;,52.7518%;,6.52017%;,56.8761%;
"Alain Jaume
Domaine Grand Veneur Châteauneuf-Du-Pape Les Origines 2018",2018,$70.75,85%;,42.4578%;,12.004%;,42.878%;
"Bernard Burgaud
Côte-Rôtie 2019",2019,$82.55,70.9512%;,64.152%;,6.54445%;,63.6708%;
"Delas
Domaine des Tourettes Hermitage Rouge 2020",2020,$104.95,84.5011%;,68.8611%;,8.14373%;,55.9865%;
"Château de Saint Cosme
Saint Cosme Côte-Rotie 2020",2020,$120.99,71.064%;,68.5065%;,6.537%;,64.8061%;
"M. Chapoutier
Crozes-Ermitage Les Varonniers 2017",2017,$99.98,63.7708%;,51.2941%;,8.65578%;,46.5254%;
"E. Guigal
Châteauneuf-du-Pape 2001",2001,$69.99,84.6865%;,40.7267%;,6.61612%;,45.141%;
