,index,wine_image,name,year,price,bodyPercent,dryOrSweet,Acidic,compareFoods,rating,about_wine
20,20,https://images.vivino.com/thumbs/s6fChoqkSz-XlAqOVS1sTA_pb_x600.png,"Château Fortia
Tradition Châteauneuf-du-Pape 2019",2019,$44.99,83.4337%;,36.5383%;,44.7792%;,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.2,"[['Winery', 'Château Fortia'], ['Grapes', 'Shiraz/Syrah, Grenache, Mourvedre'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Allergens', 'Contains sulfites'], ['Wine description', 'It has beautiful intense ruby red , with purple highlights .Deep nose , jammy , spicy notes and statement balsamic .The mouth is tasty, with a nice sweetness in attack. Beautiful volume . The tannins are dense and fine . Notes of blackberry jam and new leather . Licorice', 'and pepper. Nice outfit with a smooth finish.']]"
21,21,https://images.vivino.com/thumbs/vsNes-dQQHewuc9JzEhYEw_pb_x600.png,"Château de Saint Cosme
Saint Cosme Saint Joseph 2019",2019,$41.99,76.7051%;,50.6861%;,55.5354%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.2,"[['Winery', 'Château de Saint Cosme'], ['Grapes', '100% Shiraz/Syrah'], ['France', 'Rhone Valley', 'Northern Rhône', 'Saint-Joseph'], ['Wine style', 'Northern Rhône Saint-Joseph'], ['Alcohol content', '15.5%'], ['Allergens', 'Contains sulfites'], ['Bottle closure', 'Cork']]"
22,22,https://images.vivino.com/thumbs/H5WlD6FaQcCzIZa8RfVrcA_pb_x600.png,"Domaine de la Solitude - Famille Lancon
Châteauneuf-du-Pape 2022",2022,$49.99,80.7265%;,37.2329%;,43.6808%;,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.2,"[['Winery', 'Domaine de la Solitude - Famille Lancon'], ['Grapes', 'Shiraz/Syrah, Grenache, Mourvedre, Cinsault'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Allergens', 'Contains sulfites'], ['Wine description', 'Full bodied, rich textured and soft at the same time able to change according to the vintage from sweet black fruits, red fruits, exotic fruits, kirsch, ripe plum mixed with spice notes, leather and smoked: a rich style with mouth finals long and heady.']]"
23,23,https://images.vivino.com/thumbs/r8qlELtHQgenxhFyFEFc5A_pb_x600.png,"Olivier & Lafont
Gigondas 2019",2019,$24.99,67.3886%;,43.1706%;,55.8025%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.2,"[['Winery', 'Olivier & Lafont'], ['Grapes', 'Shiraz/Syrah, Grenache, Mourvedre'], ['France', 'Rhone Valley', 'Southern Rhône', 'Gigondas'], ['Wine style', 'Southern Rhône Red'], ['Alcohol content', '15%'], ['Allergens', 'Contains sulfites'], ['Wine description', 'Sandy Marl, Calcareous Clay and Peebles From The Quaternary .']]"
24,24,https://images.vivino.com/thumbs/lMmMYT1fRh2KcbI4OGBdNw_pb_x600.png,"Famille Perrin
Gigondas La Gille 2019",2019,$40.99,63.346%;,47.8225%;,52.8731%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.2,"[['Winery', 'Famille Perrin'], ['Grapes', 'Shiraz/Syrah, Grenache'], ['France', 'Rhone Valley', 'Southern Rhône', 'Gigondas'], ['Wine style', 'Southern Rhône Red'], ['Alcohol content', '14.5%'], ['Allergens', 'Contains sulfites'], ['Bottle closure', 'Cork'], ['Wine description', 'Deep ruby color and velvety. Red fruit, earth, mineral. Tannins present without aggression. ', 'Fortified wine, supported, elegant, robust and distinguished.']]"
25,25,https://images.vivino.com/thumbs/ny6sNOWzQOSXIhk0rMeZbg_pb_x600.png,"Domaine Santa Duc
Gigondas Aux Lieux-Dits 2020",2020,$47.15,63.7691%;,51.7327%;,54.5654%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.2,"[['Winery', 'Domaine Santa Duc'], ['Grapes', 'Mourvedre, Cinsault, Shiraz/Syrah, Grenache'], ['France', 'Rhone Valley', 'Southern Rhône', 'Gigondas'], ['Wine style', 'Southern Rhône Red'], ['Alcohol content', '14.5%'], ['Allergens', 'Contains sulfites'], ['Bottle closure', 'Cork'], ['Wine description', 'It has bright violet color. Currant, dried fig and blackberry waft from the glass. Lively, fresh, focused wine, finishing with strong spiciness.']]"
26,26,https://images.vivino.com/thumbs/7lLhPePMQ9-0Izw1FuhHww_pb_x600.png,"Bernard Gripa
Saint-Joseph Rouge 2020",2020,$49.99,70.967%;,49.4639%;,54.7372%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.2,"[['Winery', 'Bernard Gripa'], ['Grapes', '100% Shiraz/Syrah'], ['France', 'Rhone Valley', 'Northern Rhône', 'Saint-Joseph'], ['Wine style', 'Northern Rhône Saint-Joseph'], ['Alcohol content', '13%'], ['Allergens', 'Contains sulfites']]"
27,27,https://images.vivino.com/thumbs/0KDs9WtwTaKDyqBOszaATQ_pb_x600.png,"Brotte
Châteauneuf-du-Pape Domaine Barville Rouge 2021",2021,$42.98,85%;,38.9886%;,44.3495%;,"['https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/10_pork_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/20_chicken_932x810.png']",4.2,"[['Winery', 'Brotte'], ['Grapes', 'Shiraz/Syrah, Grenache, Mourvedre'], ['France', 'Rhone Valley', 'Southern Rhône', 'Châteauneuf-du-Pape'], ['Wine style', 'Southern Rhône Châteauneuf-du-Pape Red'], ['Allergens', 'Contains sulfites'], ['Wine description', 'It has ruby tinted purple highlights. Of great finesse, revealing aromas of spices, black fruit (cassis, blackberries, cherries) and notes of roasted red pepper Mouth- where elegant Attack the forest fruits predominate.']]"
28,28,https://images.vivino.com/thumbs/yNvJpa9kSka4y-Bsqhe7eQ_pb_x600.png,"Domaine de l'Arnesque
Côtes du Rhône Villages 'Plan de Dieu' 2019",2019,$19.94,64.7145%;,52.3936%;,55.8927%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.2,"[['Winery', ""Domaine de l'Arnesque""], ['Grapes', 'Shiraz/Syrah, Grenache, Mourvedre, Carignan'], ['France', 'Rhone Valley', 'Southern Rhône', 'Côtes-du-Rhône', 'Côtes-du-Rhône-Villages', ""Côtes-du-Rhône-Villages 'Plan de Dieu'""], ['Wine style', 'Southern Rhône Red'], ['Allergens', 'Contains sulfites'], ['Wine description', 'Eye Red colour cherries, deep, bright. Fine, ripes fruits, good. intensity. Full, rounded tannins give a good lenghth in mouth.']]"
29,29,https://images.vivino.com/thumbs/9VRO1Kx0SHu5mKYheYX0SQ_pb_x600.png,"Boutinot
La Côte Sauvage Cairanne 2019",2019,$28.34,65.9543%;,42.9339%;,50.9526%;,"['https://images.vivino.com/backgrounds/foods/thumbs/4_beef_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/8_lamb_932x810.png', 'https://images.vivino.com/backgrounds/foods/thumbs/11_venison_932x810.png']",4.2,"[['Winery', 'Boutinot'], ['Grapes', '100% Shiraz/Syrah'], ['France', 'Rhone Valley', 'Southern Rhône', 'Cairanne'], ['Wine style', 'Southern Rhône Red'], ['Alcohol content', '14.5%'], ['Allergens', 'Contains sulfites, egg allergens, milk allergens'], ['Wine description', ""A hallmark of the 'La Côte Sauvage' is finesse and finely grained texture combined with bright and vivacious tones of wild red fruits interlaced with subtle nuances of French oak. These lusciously full-bodied flavours are laced with soft spices and layered with the nuances of seasoned oak leading to an exquisitely silky finish.""]]"
